Episode: 284, Event: hole, Total Score: -113, Epsilon: 0.2409
Episode: 285, Event: hole, Total Score: -49, Epsilon: 0.2397
Episode: 286, Event: hole, Total Score: -48, Epsilon: 0.2385
Episode: 287, Event: hole, Total Score: -61, Epsilon: 0.2373
Episode: 288, Event: hole, Total Score: -161, Epsilon: 0.2361
Episode: 289, Event: hole, Total Score: -39, Epsilon: 0.2349
Episode: 290, Event: hole, Total Score: -59, Epsilon: 0.2337
Episode: 291, Event: hole, Total Score: -31, Epsilon: 0.2326
Episode: 292, Event: hole, Total Score: -59, Epsilon: 0.2314
Episode: 293, Event: hole, Total Score: -27, Epsilon: 0.2302
Episode: 294, Event: hole, Total Score: -33, Epsilon: 0.2291
Episode: 295, Event: goal, Total Score: 6, Epsilon: 0.2279
Episode: 296, Event: hole, Total Score: -57, Epsilon: 0.2268
Episode: 297, Event: hole, Total Score: -37, Epsilon: 0.2257
Episode: 298, Event: hole, Total Score: -30, Epsilon: 0.2245
Episode: 299, Event: hole, Total Score: -56, Epsilon: 0.2234
Episode: 300, Event: hole, Total Score: -37, Epsilon: 0.2223
Episode: 301, Event: hole, Total Score: -30, Epsilon: 0.2212
Episode: 302, Event: hole, Total Score: -81, Epsilon: 0.2201
Episode: 303, Event: goal, Total Score: -118, Epsilon: 0.2190
Episode: 304, Event: hole, Total Score: -61, Epsilon: 0.2179
Episode: 305, Event: hole, Total Score: -114, Epsilon: 0.2168
Episode: 306, Event: hole, Total Score: -75, Epsilon: 0.2157
Episode: 307, Event: hole, Total Score: -43, Epsilon: 0.2146
Episode: 308, Event: hole, Total Score: -33, Epsilon: 0.2136
Episode: 309, Event: hole, Total Score: -47, Epsilon: 0.2125
Episode: 310, Event: hole, Total Score: -136, Epsilon: 0.2114
Episode: 311, Event: hole, Total Score: -38, Epsilon: 0.2104
Episode: 312, Event: hole, Total Score: -31, Epsilon: 0.2093
Episode: 313, Event: hole, Total Score: -42, Epsilon: 0.2083
Episode: 314, Event: hole, Total Score: -117, Epsilon: 0.2072
Episode: 315, Event: hole, Total Score: -47, Epsilon: 0.2062
Episode: 316, Event: goal, Total Score: 10, Epsilon: 0.2052
Episode: 317, Event: hole, Total Score: -59, Epsilon: 0.2041
Episode: 318, Event: goal, Total Score: -14, Epsilon: 0.2031
Episode: 319, Event: hole, Total Score: -85, Epsilon: 0.2021
