Episode: 569, Steps: 50, Steps_X: 33, Steps_Y: 17, Total Score: 0, Epsilon: 0.0577
Episode: 570, Steps: 122, Steps_X: 79, Steps_Y: 43, Total Score: -72, Epsilon: 0.0574
Episode: 571, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.0571
Episode: 572, Steps: 40, Steps_X: 27, Steps_Y: 13, Total Score: 10, Epsilon: 0.0569
Episode: 573, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.0566
Episode: 575, Steps: 66, Steps_X: 53, Steps_Y: 13, Total Score: -16, Epsilon: 0.0560
Episode: 576, Steps: 52, Steps_X: 37, Steps_Y: 15, Total Score: -2, Epsilon: 0.0557
Episode: 577, Steps: 48, Steps_X: 37, Steps_Y: 11, Total Score: 2, Epsilon: 0.0555
Episode: 578, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0552
Episode: 579, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0549
Episode: 580, Steps: 66, Steps_X: 51, Steps_Y: 15, Total Score: -16, Epsilon: 0.0546
Episode: 581, Steps: 56, Steps_X: 41, Steps_Y: 15, Total Score: -6, Epsilon: 0.0544
Episode: 582, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.0541
Episode: 583, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0538
Episode: 584, Steps: 28, Steps_X: 19, Steps_Y: 9, Total Score: 22, Epsilon: 0.0535
Episode: 585, Steps: 90, Steps_X: 79, Steps_Y: 11, Total Score: -40, Epsilon: 0.0533
Episode: 586, Steps: 38, Steps_X: 25, Steps_Y: 13, Total Score: 12, Epsilon: 0.0530
Episode: 587, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0527
Episode: 588, Steps: 22, Steps_X: 9, Steps_Y: 13, Total Score: 28, Epsilon: 0.0525
Episode: 589, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0522
Episode: 590, Steps: 26, Steps_X: 17, Steps_Y: 9, Total Score: 24, Epsilon: 0.0520
Episode: 591, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0517
Episode: 592, Steps: 28, Steps_X: 21, Steps_Y: 7, Total Score: 22, Epsilon: 0.0514
Episode: 593, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0512
Episode: 594, Steps: 46, Steps_X: 39, Steps_Y: 7, Total Score: 4, Epsilon: 0.0509
Episode: 595, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0507
Episode: 596, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.0504
Episode: 597, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0502
Episode: 598, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0500
Episode: 599, Steps: 34, Steps_X: 27, Steps_Y: 7, Total Score: 16, Epsilon: 0.0500
Episode: 600, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.0500
Episode: 601, Steps: 36, Steps_X: 29, Steps_Y: 7, Total Score: 14, Epsilon: 0.0500
Episode: 602, Steps: 28, Steps_X: 21, Steps_Y: 7, Total Score: 22, Epsilon: 0.0500
Episode: 604, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 605, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 606, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 607, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 608, Steps: 52, Steps_X: 45, Steps_Y: 7, Total Score: -2, Epsilon: 0.0500
Episode: 609, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 610, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 611, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 612, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 613, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0500
Episode: 614, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 615, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 616, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 617, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 618, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 620, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 622, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0500
Episode: 623, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0500
Episode: 624, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 625, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
Episode: 626, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0500
