Episode: 338, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1837
Episode: 341, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.1810
Episode: 344, Steps: 34, Steps_X: 17, Steps_Y: 17, Total Score: 16, Epsilon: 0.1783
Episode: 348, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.1748
Episode: 349, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1739
Episode: 351, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1721
Episode: 356, Steps: 46, Steps_X: 13, Steps_Y: 33, Total Score: 4, Epsilon: 0.1679
Episode: 357, Steps: 22, Steps_X: 11, Steps_Y: 11, Total Score: 28, Epsilon: 0.1670
Episode: 358, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1662
Episode: 360, Steps: 48, Steps_X: 13, Steps_Y: 35, Total Score: 2, Epsilon: 0.1646
Episode: 361, Steps: 28, Steps_X: 11, Steps_Y: 17, Total Score: 22, Epsilon: 0.1637
Episode: 363, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1621
Episode: 364, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.1613
Episode: 368, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1581
Episode: 369, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.1573
Episode: 370, Steps: 26, Steps_X: 13, Steps_Y: 13, Total Score: 24, Epsilon: 0.1565
Episode: 371, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1557
Episode: 372, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1549
Episode: 373, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1542
Episode: 375, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1526
Episode: 376, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.1519
Episode: 377, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.1511
Episode: 380, Steps: 22, Steps_X: 13, Steps_Y: 9, Total Score: 28, Epsilon: 0.1489
Episode: 381, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1481
Episode: 382, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1474
Episode: 383, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.1466
Episode: 384, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1459
Episode: 387, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1437
Episode: 389, Steps: 50, Steps_X: 23, Steps_Y: 27, Total Score: 0, Epsilon: 0.1423
Episode: 390, Steps: 30, Steps_X: 21, Steps_Y: 9, Total Score: 20, Epsilon: 0.1416
Episode: 391, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1409
Episode: 392, Steps: 22, Steps_X: 11, Steps_Y: 11, Total Score: 28, Epsilon: 0.1402
Episode: 393, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1395
Episode: 394, Steps: 28, Steps_X: 13, Steps_Y: 15, Total Score: 22, Epsilon: 0.1388
Episode: 397, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1367
Episode: 398, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.1360
Episode: 399, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.1353
Episode: 401, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.1340
Episode: 402, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1333
Episode: 404, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1320
Episode: 405, Steps: 26, Steps_X: 9, Steps_Y: 17, Total Score: 24, Epsilon: 0.1313
Episode: 408, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1294
Episode: 409, Steps: 28, Steps_X: 9, Steps_Y: 19, Total Score: 22, Epsilon: 0.1287
Episode: 410, Steps: 20, Steps_X: 13, Steps_Y: 7, Total Score: 30, Epsilon: 0.1281
Episode: 411, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1274
Episode: 413, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1262
Episode: 415, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1249
Episode: 416, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1243
Episode: 417, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1237
Episode: 418, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1230
Episode: 419, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1224
Episode: 421, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1212
Episode: 423, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1200
Episode: 424, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1194
Episode: 426, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1182
Episode: 427, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1176
Episode: 429, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1164
Episode: 430, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1159
Episode: 431, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1153
Episode: 432, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1147
Episode: 433, Steps: 20, Steps_X: 13, Steps_Y: 7, Total Score: 30, Epsilon: 0.1141
Episode: 434, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1136
Episode: 435, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.1130
Episode: 436, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1124
Episode: 437, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1119
Episode: 438, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1113
Episode: 439, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1107
Episode: 440, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1102
Episode: 442, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1091
Episode: 443, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1085
Episode: 444, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1080
Episode: 445, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1075
Episode: 446, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1069
Episode: 447, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1064
Episode: 448, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1059
Episode: 449, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1053
Episode: 452, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1038
Episode: 453, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1032
Episode: 454, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1027
Episode: 455, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1022
Episode: 456, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1017
Episode: 457, Steps: 24, Steps_X: 17, Steps_Y: 7, Total Score: 26, Epsilon: 0.1012
Episode: 458, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.1007
Episode: 459, Steps: 22, Steps_X: 15, Steps_Y: 7, Total Score: 28, Epsilon: 0.1002
Episode: 460, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0997
Episode: 461, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0992
Episode: 462, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0987
Episode: 465, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0972
Episode: 467, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0962
Episode: 468, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0958
Episode: 469, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0953
Episode: 472, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0939
Episode: 473, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0934
Episode: 474, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0929
Episode: 475, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0925
Episode: 476, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0920
Episode: 477, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0915
Episode: 479, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0906
Episode: 480, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0902
Episode: 483, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.0888
Episode: 484, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.0884
Episode: 485, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0879
Episode: 486, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0875
Episode: 487, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0871
Episode: 488, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0866
Episode: 489, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0862
Episode: 490, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0858
Episode: 491, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0853
Episode: 492, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.0849
Episode: 493, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0845
Episode: 494, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0841
Episode: 496, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0832
Episode: 497, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0828
Episode: 498, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0824
Episode: 499, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0820
Episode: 500, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0816
Episode: 501, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0812
Episode: 502, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.0808
Episode: 504, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0800
Episode: 505, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.0796
Episode: 508, Steps: 46, Steps_X: 39, Steps_Y: 7, Total Score: 4, Epsilon: 0.0784
Episode: 509, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0780
Episode: 510, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0776
Episode: 511, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0772
Episode: 512, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0768
Episode: 513, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0764
Episode: 515, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0757
Episode: 516, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.0753
Episode: 517, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.0749
