Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 65, Global Episode: 5541, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.7219
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 66, Global Episode: 5542, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7183
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 67, Global Episode: 5543, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: -3, Epsilon: 0.7147
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 68, Global Episode: 5544, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.7112
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 69, Global Episode: 5545, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7076
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 70, Global Episode: 5546, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7041
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 71, Global Episode: 5547, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7005
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 72, Global Episode: 5548, Event: hole, Total Score: -59, Turns: 0, Turn Penalty: -3, Epsilon: 0.6970
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 73, Global Episode: 5549, Event: hole, Total Score: -58, Turns: 0, Turn Penalty: 0, Epsilon: 0.6936
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 74, Global Episode: 5550, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.6901
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 75, Global Episode: 5551, Event: hole, Total Score: -109, Turns: 0, Turn Penalty: -3, Epsilon: 0.6866
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 76, Global Episode: 5552, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: 0, Epsilon: 0.6832
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 77, Global Episode: 5553, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.6798
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 78, Global Episode: 5554, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.6764
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 79, Global Episode: 5555, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.6730
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 80, Global Episode: 5556, Event: hole, Total Score: -56, Turns: 0, Turn Penalty: -3, Epsilon: 0.6696
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 81, Global Episode: 5557, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: 0, Epsilon: 0.6663
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 82, Global Episode: 5558, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.6630
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 83, Global Episode: 5559, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.6597
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 84, Global Episode: 5560, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.6564
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 85, Global Episode: 5561, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: -3, Epsilon: 0.6531
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 86, Global Episode: 5562, Event: hole, Total Score: -57, Turns: 0, Turn Penalty: -3, Epsilon: 0.6498
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 87, Global Episode: 5563, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.6466
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 88, Global Episode: 5564, Event: hole, Total Score: -67, Turns: 0, Turn Penalty: -3, Epsilon: 0.6433
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 89, Global Episode: 5565, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.6401
